site,sample,agebp,agecal,Abies,Acer,Alnus,Aquifoliaceae,Betula,Carya,Castanea,Ceanothus,Celtis,Cephalanthus,Cercocarpus-type,Clethra,Corylus,Cupressaceae/Taxaceae undiff.,Cyrilla racemiflora,Empetrum-type,Ephedra,Ericaceae,Ericales undiff.,Fagus,Fraxinus,Juglans,Larix/Pseudotsuga,Liquidambar,Myricaceae,Nyssa,Ostrya-type,Picea,Pinus subg. Pinus,Pinus subg. Strobus,Pinus undiff.,Platanus,Populus,Quercus,Salix,Sarcobatus vermiculatus,Shepherdia canadensis,Taxodium,Tilia,Tsuga Canadensis,Tsuga heterophylla,Tsuga mertensiana,Tsuga undiff.,Ulmus,Ambrosia-type,Apiaceae,Artemisia,Asteraceae subf. Asteroideae undiff,Asteraceae undiff.,Brassicaceae,Caryophyllaceae,Cerealia,Chenopodiaceae/Amaranthaceae undiff.,Cyperaceae,Eriogonum,Euphorbia-type,Fabaceae,Iva,Oxyria digyna,Poaceae undiff.,Ranunculaceae undiff.,Rosaceae undiff.,Rubiaceae undiff.,Rumex,Rumex/Oxyria digyna undiff.,Saxifragaceae,Sphaeralcea,Thalictrum,Selaginella
7,7,-26,-26,0.82,2.73,3.28,0,21.31,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55,0,0.55,0,0.27,0,0,0,0.27,1.64,0,58.2,0,0,1.09,3.01,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0
7,8,10,10,4.7,0,1.01,0,39.26,0.34,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0.34,0,0.34,0,0,0,0,0,14.43,0,30.54,0,0,0,2.01,0.34,0,0,0,0,0,0,0,0.34,0.34,1.34,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,9,50,50,3.29,0,2.96,0,20.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.33,0.33,0,0.99,0,0,0,0,11.18,0,48.03,0,0,0.33,0.99,0.33,0,0,0,0,0,0,0,0.66,0.66,7.24,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0.66,0,0,0,0.33,0,0,0,0,0
7,10,90,90,3.44,1.03,2.75,0,25.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37,0.34,0.34,0,0.34,0,0,0,0.69,13.75,0,37.11,0,0,0,1.72,7.22,0,0,0,0,0,0,0,0.69,0.69,1.72,0,0.34,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11,222,281,3.53,0.27,3.26,0,21.47,0.27,0,0,0,0,0,0,0,0,0,0,0.27,0,8.97,0.82,0.27,0,1.36,0,0,0,1.09,11.68,0,41.3,0,0,0,1.9,0,0,0,0,0,0,0,0,0.82,1.09,0,0,0,0,0,0,0,0,0.27,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,12,447,491,1.84,1.23,3.37,0,26.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.92,0.61,0.31,2.15,0,0,0,1.84,8.28,0,44.48,0,0,0,2.45,0.31,0,0,0,0,0,0,0,0.31,1.53,0.31,0,0,0,0,0,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,13,672,640,0.5,0.25,3.25,0,24.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0.25,0,0,0,0,10.5,0,53.75,0,0,0.25,2.25,1,0,0,0,0,0,0,0,0.5,0.75,0,0,0.25,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,14,897,811,0.64,0.96,1.92,0,23.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.64,0.64,0,0.32,0,0,0,0.64,2.56,0,62.3,0,0.32,0,3.19,0.64,0,0,0,0.32,0,0,0,0.32,0,0,0,0.32,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,15,1122,1038,1.29,0.52,2.32,0,33.51,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0.52,0,0,0.52,0,0,0,0.52,4.9,0,47.94,0,0,0,2.84,0.52,0,0,0,0,0,0,0,1.8,0.77,0,0,0,0,0,0,0,0,0.26,0.52,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0
7,16,1347,1271,1.46,0.29,2.92,0,20.76,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0.29,0.29,0.29,0.29,0.58,0,0,0,0.29,6.14,0,60.53,0,0,0.29,2.92,0,0,0,0,0,0,0,0,0.58,0.29,0,0,0.29,0,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,17,1572,1459,1.32,0.26,0.26,0,21.58,0.26,0,0,0,0,0,0,0,0,0,0,0,0,1.58,1.05,0.53,0,0.53,0,0,0,0.53,2.89,0,60.53,2.63,0,0,3.68,0,0.26,0,0,0,0,0,0,0.53,0.79,0,0,0,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,18,1797,1726,1.4,0,3.85,0,19.23,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0.7,0.35,0.35,0,0,0,0,0,0.35,6.29,0,59.44,0,0,0.35,3.15,0,0,0,0,0.35,0,0,0,0.35,0.35,0.35,0,0,0,0,0,0,0,0.35,1.75,0,0,0,0.35,0,0.35,0,0,0,0,0,0,0,0,0
7,19,2022,1976,1.5,0,2.4,0,13.47,0.3,0,0,0,0,0,0,0.3,0,0,0,0.3,0,0.6,0.3,0,0,0,0,0,0,0.9,2.99,0,74.85,0,0,0,1.5,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,20,2247,2267,0.57,0.29,1.15,0,13.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.29,0.29,0.29,0.29,0,0,0,0.57,3.15,0,75.93,0,0,0,0.86,0,0,0,0,0,0,0,0,0,1.43,0.29,0,0.29,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,21,2472,2547,1.26,0,1.26,0,17.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0.32,0,0.32,0,0,0,0.32,1.26,0,74.76,0,0.32,0,0.63,0,0,0,0,0,0,0,0,0.63,0,0.32,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,22,2697,2814,3.42,1.24,3.42,0,22.36,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0.62,1.24,0.93,0,0.31,0,0,0,0.93,7.14,0,49.69,0,0,0,3.42,0.31,0,0,0,0,0,0,0,0.93,0.62,0,0,0.31,0.62,0,0,0,0,0.31,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,23,2921,3071,1.1,0,3.01,0,17.26,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66,0.27,0.55,0,0,0,0,0,0,2.47,0,57.26,0,0,0,2.47,0,0,0,0,0,0,0,0,0.55,0.82,0,0,0,0,0,0,0,0,0,9.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24,3146,3372,1,0.25,3.01,0,24.31,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01,0.75,0.5,0,0.75,0,0.25,0,1.25,1,0,56.89,0,0,0.25,4.01,0.25,0,0,0,0,0,0,0,0.5,1,0.25,0,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,25,3371,3609,1.14,0,2.85,0,26.21,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0.28,0.57,0,0,0,0,0,0,3.42,0,57.83,0,0.28,0,2.56,0,0,0,0,0,0,0,0,0,0.85,0.28,0,0,0,0,0,0,0,0.57,1.99,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0
7,26,3575,3874,0.98,0.25,1.97,0,7.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0.25,2.21,0,74.45,0,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0.49,0,0.25,0,0,0,0,0,0.25,9.34,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0
7,27,3717,4062,1.46,0.29,1.75,0,11.11,0,0,0,0,0,0,0,0.29,0,0,0,0,0,1.75,0.58,0.88,0,0.29,0,0,0,0,2.34,0,71.35,0,0.29,0.58,2.05,0.88,0,0,0,0,0,0,0,0,1.17,0.58,0,0.58,0,0,0,0,0,0,1.17,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0
7,28,3859,4281,1.56,0.31,0.62,0,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49,0,0,0,0.31,0,0.31,0,0.31,1.87,0,80.06,0,0,0.31,1.56,0,0,0,0,0,0,0,0,0,1.87,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0.31,0
7,29,4001,4468,3.12,0,1.42,0,12.5,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,1.7,0,0,0,0.28,0,0,0,0,3.69,0,72.44,0,0,0,1.7,0.28,0,0,0,0,0,0,0,0,0.85,0.28,0,0.28,0,0,0,0,0,0.28,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
