site,sample,agebp,agecal,Abies,Acer,Alnus,Aquifoliaceae,Betula,Carya,Castanea,Ceanothus,Celtis,Cephalanthus,Cercocarpus-type,Clethra,Corylus,Cupressaceae/Taxaceae undiff.,Cyrilla racemiflora,Empetrum-type,Ephedra,Ericaceae,Ericales undiff.,Fagus,Fraxinus,Juglans,Larix/Pseudotsuga,Liquidambar,Myricaceae,Nyssa,Ostrya-type,Picea,Pinus subg. Pinus,Pinus subg. Strobus,Pinus undiff.,Platanus,Populus,Quercus,Salix,Sarcobatus vermiculatus,Shepherdia canadensis,Taxodium,Tilia,Tsuga Canadensis,Tsuga heterophylla,Tsuga mertensiana,Tsuga undiff.,Ulmus,Ambrosia-type,Apiaceae,Artemisia,Asteraceae subf. Asteroideae undiff,Asteraceae undiff.,Brassicaceae,Caryophyllaceae,Cerealia,Chenopodiaceae/Amaranthaceae undiff.,Cyperaceae,Eriogonum,Euphorbia-type,Fabaceae,Iva,Oxyria digyna,Poaceae undiff.,Ranunculaceae undiff.,Rosaceae undiff.,Rubiaceae undiff.,Rumex,Rumex/Oxyria digyna undiff.,Saxifragaceae,Sphaeralcea,Thalictrum,Selaginella
7,30,4143,4684,0.94,0,0.63,0,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0.31,0,0,0,0,0,0,3.13,0,89.66,0,0,0,0.31,0,0,0,0,0.31,0,0,0,0.31,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,31,4285,4861,0.33,0,0.67,0,3.34,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0.67,0,0,0,0,0,0,0,0.33,2.01,0,89.97,0,0,0,1,0,0,0,0,0,0,0,0,0.33,0.33,0,0,0.33,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,32,4427,5001,1.11,0.37,1.85,0,6.27,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0.37,0.37,0,0.37,0,0,0,0.37,2.58,0,78.23,3.69,0.37,0.37,1.11,0.37,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0
7,33,4569,5285,0.56,0.84,0.28,0,2.81,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.28,0.84,0,0,0,0,0,0.28,1.69,0,90.73,0,0,0.28,0.56,0,0,0,0,0,0,0,0,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,34,4711,5455,0.74,0.37,1.48,0,12.92,0.37,0,0,0,0,0,0,0.37,1.48,0,0,0,0,0,0,1.11,0,0,0,0,0,0.37,2.21,0,73.8,0,0,0,1.11,0.74,0,0,0,0,0,0,0,0.37,0.74,0.37,0,0.74,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0,0,0,0,0
7,35,4853,5595,2.56,0,2.56,0,5.86,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0.37,0,0,0,0,0,0,2.56,0,80.59,0.73,0,0,1.1,0,0,0,0,0,0,0,0,0.37,0.37,0,0,1.1,0,0,0,0,0,0,0.73,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0
7,36,4995,5731,3.24,1.39,1.39,0,2.78,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0.93,0.46,0,0,0,0,0,0,3.24,0,79.17,0,0,0,2.31,0.93,0,0,0,0,0,0,0,0,0.46,0.46,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,1.39,0,0.46,0,0,0,0,0,0,0
7,37,5137,5890,0.46,0.46,1.38,0,7.83,0,0,0,0,0,0,0,0,2.76,0,0,0,0,0,0,0.92,0,0.46,0,0,0,0.92,1.84,0,75.58,0,0,0,1.38,0,0,0,0,0,0,0,0,0.46,1.38,0.46,0,0,0,0,0,0,0,0.92,2.3,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0
7,38,5279,6050,0.92,0,0.92,0,1.85,0,0,0,0,0,0,0,0,0.31,0,0,0,0,1.23,0,0.31,0,0.92,0,0,0,0.92,1.23,0,86.77,0,0,0,0.62,0.62,0,0,0,0,0,0,0,0,1.54,0.62,0,0.62,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,39,5421,6232,0.75,0.38,0.38,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0.75,2.63,0,86.84,0,0,0,2.26,0,0,0,0,0,0,0,0,0.38,0.38,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0.38,0,0.38,0,0,0,0,0,0,0,0,0
7,40,5492,6297,1.08,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0.72,3.97,0,81.23,0,0,0,1.08,0.72,0,0,0,0,0,0,0,1.08,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,41,5705,6489,1.69,0.42,1.27,0,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,3.38,0,78.06,0,0,0,1.27,0,0,0,0,0,0,0,0,0,1.27,0.84,0,0,0,0,0,0,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,42,5846,6662,2.96,0,0,0,2.3,0.66,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0.33,0,0,0,0,0,0.33,2.63,0,88.49,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,43,5988,6822,0.61,0,0.61,0,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,1.53,0,0.31,0,0,0,0.31,0.92,0,87.46,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0.31,0,0.31,0,0,0,0,0,0,0.31,2.14,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0
7,44,6130,7012,0.77,0,0.39,0,2.32,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0.39,0,0.39,0,0.77,0,0,0,0,1.54,0,86.49,0,0,0,0.77,0.77,0,0,0,0,0,0,0,0,1.93,0.39,0,0,0.77,0,0,0,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,45,6272,7207,0.83,1.25,0.42,0,2.08,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0.83,2.5,0,83.75,0,0,0,1.25,0,0,0,0,0,0,0,0,0.83,1.67,0.42,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,46,6414,7343,0.82,0,0.41,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.41,0.41,0,0,0,0,0,0,0.41,0,90.95,0,0,0,0,0.41,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,47,6485,7404,2.33,0,0,0,5.81,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,6.98,0,68.6,0,0,0,1.16,0,0,0,0,0,0,0,0,0,1.16,6.98,0,0,1.16,0,0,0,0,1.16,1.16,0,0,0,0,0,2.33,0,0,0,0,0,0,0,0,0
